Term,Count,PValue,Genes,Fold Enrichment,Bonferroni,Benjamini,FDR
hsa04936:Alcoholic liver disease,70,9.94E-18,"ACADVL, PRKAG2, CXCL2, IKBKB, TBK1, CASP8, CCND1, ALDH2, CASP3, AKT2, AKT3, AKT1, ACADM, IKBKG, IKBKE, MAP3K7, MAP2K3, MAP2K4, CPT1A, CHUK, IRAK4, TICAM1, PRKAB1, SIRT1, TNFRSF1A, ALDH3A2, IRF3, ACOX1, TRAF6, ACOX3, PPARA, TLR4, ALDH7A1, ALDH9A1, PRKAA1, PRKAA2, ADH1B, TCF7, LY96, FOXO3, ACACB, ADH5, FOXO1, RELA, C3, MAPK9, MAPK8, IRAK1, ALDH1B1, RIPK1, CD14, FADD, MAP2K7, MAP2K6, TCF7L2, TCF7L1, MAPK14, MAPK12, NFKB1, MAPK13, NFKBIA, MAPK10, MAPK11, FASN, CTNNB1, FAS, TAB3, TAB2, TAB1, MAP3K14",2.798371756,3.19E-15,4.31E-17,1.53E-17
hsa04919:Thyroid hormone signaling pathway,63,1.70E-17,"ITGB3, ATP2A3, PIK3CD, ATP2A2, ACTB, ACTG1, CASP9, MED12, CCND1, SIN3A, MYC, AKT2, AKT3, AKT1, EP300, PLCE1, ITGAV, SLC16A2, PRKACA, PRKACB, HRAS, NCOA1, NCOA2, MAP2K1, MAP2K2, PDPK1, PRKCA, MED4, ATP1B1, MED27, PLCB3, KAT2A, NCOR1, PLCB4, PIK3CA, RAF1, PLCB2, TP53, NOTCH2, NOTCH3, HDAC2, HDAC3, PIK3R3, PIK3R2, PIK3R1, ATP1A1, FOXO1, SLC9A1, PLN, RXRA, MED30, PLCG2, MAPK1, PLCG1, MAPK3, CREBBP, BAD, STAT1, SLC16A10, PFKL, MDM2, CTNNB1, KRAS",2.955635623,5.45E-15,7.26E-17,2.58E-17
hsa05221:Acute myeloid leukemia,44,2.26E-17,"SPI1, ITGAM, TCF7, ARAF, PIK3CD, PIK3R3, PIK3R2, PIK3R1, RELA, IKBKB, CCND1, MYC, AKT2, AKT3, AKT1, MAPK1, IKBKG, CD14, FCGR1A, HRAS, MAPK3, TCF7L2, STAT5B, MAP2K1, TCF7L1, MAP2K2, CHUK, BAD, STAT3, BRAF, NFKB1, DUSP6, PML, PER2, CCNA2, PIK3CA, RPS6KB1, RPS6KB2, GRB2, KRAS, RAF1, SOS1, SOS2, PPARD",3.727980113,7.25E-15,9.54E-17,3.39E-17
hsa05120:Epithelial cell signaling in Helicobacter pylori infection,45,3.06E-17,"ATP6V1A, TCIRG1, F11R, CXCL2, RELA, EGFR, IKBKB, CDC42, MAPK9, MAPK8, CASP3, CCL5, PLCG2, ATP6V1H, IKBKG, PLCG1, RAC1, ATP6V1E1, ATP6V0E2, ATP6V1D, ATP6V1C1, ATP6V1F, ATP6V0A1, LYN, MAP2K4, JUN, ATP6V1G1, ATP6V0B, ATP6V0E1, ATP6AP1, CHUK, ADAM10, PTPN11, MAPK14, MAPK12, NFKB1, MAPK13, MAPK10, NFKBIA, MAPK11, ATP6V1B2, ATP6V0D1, MET, ATP6V0C, MAP3K14",3.649305208,9.83E-15,1.28E-16,4.53E-17
hsa05208:Chemical carcinogenesis - reactive oxygen species,92,9.27E-17,"NCF1, NDUFA11, NDUFA12, NCF2, PTEN, ARAF, PIK3CD, IKBKB, AKT2, AKT3, AKT1, UQCRFS1, IKBKG, RAC1, HRAS, MAP2K4, MAP2K1, MAP2K2, CHUK, PDPK1, HGF, PRKCD, NDUFC2, NDUFC1, CYBA, FOS, SDHD, SDHB, NDUFS8, NDUFS7, PIK3CA, NDUFS6, NDUFS5, CAT, NDUFS4, UQCRC1, NDUFS2, RAF1, SOS1, MET, SOS2, NDUFB9, NDUFB8, NDUFB7, UQCRB, NDUFB6, NDUFB10, NDUFB11, NDUFB4, NDUFB2, PIK3R3, NDUFB1, GSTT1, PIK3R2, UQCR11, PIK3R1, FOXO3, COX5A, EGFR, RELA, PLD2, MAPK9, MAPK8, ABL1, ABL2, MAPK1, HMOX1, NDUFV3, MAP2K7, NDUFV2, MAPK3, NDUFA8, JUN, NDUFA6, BAD, NDUFA4, NDUFA3, NDUFA2, NDUFA1, PTPN11, BRAF, MAPK14, MAPK12, NFKB1, MAPK13, NFKBIA, MAPK10, MAPK11, NDUFAB1, KRAS, GRB2, MAP3K14",2.341955709,3.56E-14,3.82E-16,1.36E-16
hsa04725:Cholinergic synapse,59,1.69E-16,"PIK3CD, PIK3CG, CREB3L4, AKT2, CREB3L1, AKT3, CREB3L2, AKT1, JAK2, PRKACA, PRKACB, HRAS, MAP2K1, PRKCA, FOS, CREB3, PLCB3, PLCB4, CREB1, ADCY9, PIK3CA, KCNQ1, PLCB2, ATF4, CREB5, CAMK2D, ADCY4, GNAI3, ITPR1, PIK3R3, ADCY3, ITPR2, CACNA1D, PIK3R2, ITPR3, CACNA1C, PIK3R1, ADCY7, GNAI1, ADCY6, GNAI2, PIK3R5, GNG2, GNG5, GNA11, MAPK1, FYN, CAMK2G, MAPK3, GNG12, GNG11, CAMK4, GNAQ, GNB2, GNB1, GNB4, BCL2, KRAS, GNB5",2.963939137,7.13E-14,6.86E-16,2.44E-16
hsa04810:Regulation of actin cytoskeleton,90,3.08E-16,"ITGB1, ITGAM, ITGB5, ITGB4, ITGB3, ARPC1B, ARPC1A, ITGB2, ARPC5L, ARAF, PIK3CD, FGF2, ACTB, ACTG1, CRKL, PPP1CB, PPP1CC, CFL1, RAC2, PIP4K2A, PIP4K2B, ITGAV, ITGB7, ITGB6, RAC1, HRAS, PDGFRB, VAV3, MAP2K1, MAP2K2, ITGA3, ACTN1, ITGA2, ITGA1, ACTN4, RHOA, VAV1, VAV2, TIAM1, PIK3CA, ITGA7, ITGA6, ITGA5, RAF1, PPP1R12B, SOS1, MYL9, CRK, SOS2, ITGA9, ARHGEF6, ROCK2, PDGFB, PDGFA, CXCR4, PIK3R3, PIK3R2, PIK3R1, MYL12A, EGFR, FGD1, SLC9A1, MYL12B, GNA13, CDC42, FGD3, SCIN, PDGFC, MYH14, PIP5K1A, MAPK1, PIP5K1B, PIP5K1C, MYH10, PAK2, PAK4, MAPK3, FN1, BRAF, ARPC4, ARPC5, GNG12, PPP1CA, PIKFYVE, CXCL12, ARPC2, ARPC3, KRAS, BCAR1, FGFR1",2.343590501,1.07E-13,1.23E-15,4.38E-16
hsa04261:Adrenergic signaling in cardiomyocytes,70,4.75E-16,"ATF2, ATP2A3, ATP2A2, PPP2R2A, PIK3CG, PPP1CB, PPP1CC, PPP2R1B, PPP2R1A, PPP2R5E, CREB3L4, AKT2, CREB3L1, AKT3, CREB3L2, AKT1, PRKACA, PRKACB, PPP2R5B, PPP2R5A, PPP2R5D, PRKCA, PPP2R5C, ATP1B1, CACNB1, CREB3, CACNB3, PLCB3, PLCB4, CREB1, ADCY9, KCNQ1, PLCB2, RAPGEF3, ATF4, CREB5, CAMK2D, ADCY4, GNAI3, ADCY3, CACNA1D, CACNA1C, ATP1A1, ADCY7, GNAI1, ADCY6, SLC9A1, GNAI2, PIK3R5, PPP2CA, PPP2CB, PLN, PPP2R3C, MAPK1, CAMK2G, MAPK3, ATP2B4, PPP2R3A, ATP2B1, MAPK14, MAPK12, MAPK13, PPP1CA, MAPK11, GNAQ, BCL2, GNAS, CALM3, CALM1, CALM2",2.649125262,1.43E-13,1.88E-15,6.68E-16
hsa04015:Rap1 signaling pathway,87,7.33E-16,"ITGB1, DOCK4, ITGAM, ITGB3, ITGB2, PIK3CD, FGF2, ACTB, ACTG1, CRKL, CDH1, AKT2, AKT3, RAC2, AKT1, PLCE1, RAC1, HRAS, PDGFRB, VAV3, MAP2K3, MAP2K1, MAP2K2, HGF, PRKCA, RHOA, VAV1, VAV2, TIAM1, PLCB3, PLCB4, ADCY9, PIK3CA, RAPGEF1, RAF1, TLN1, MET, PLCB2, CRK, RAPGEF3, RALA, ADCY4, PDGFB, GNAI3, PDGFA, PIK3R3, ADCY3, PIK3R2, PIK3R1, EFNA5, PRKCZ, ADCY7, EGFR, GNAI1, ADCY6, RASGRP3, GNAI2, RAP1B, CDC42, RAP1A, PDGFC, MAPK1, PLCG1, RALGDS, MAPK3, MAP2K6, VASP, BRAF, IGF1, MAPK14, MAPK12, MAPK13, EFNA1, MAPK11, KITLG, GNAQ, ID1, GNAS, CTNNB1, KRAS, CALM3, CALM1, CALM2, LAT, BCAR1, SIPA1, FGFR1",2.351774468,2.49E-13,2.87E-15,1.02E-15
hsa05140:Leishmaniasis,46,8.12E-16,"ITGB1, ITGAM, NCF1, NCF2, NCF4, ITGB2, ELK1, RELA, C3, FCGR3A, IRAK1, MAPK1, JAK2, FCGR1A, MAP3K7, JAK1, MAPK3, TGFB2, JUN, MARCKSL1, TGFB1, CR1, TGFB3, IFNGR1, STAT1, IFNGR2, CYBB, CYBA, FOS, IRAK4, MAPK14, MAPK12, NFKB1, MAPK13, NFKBIA, EEF1A1, MAPK11, FCGR2A, TRAF6, HLA-DPB1, TAB2, TAB1, FCGR2C, TLR4, HLA-DRB1, NFKBIB",3.391273527,2.49E-13,3.14E-15,1.12E-15
hsa04915:Estrogen signaling pathway,66,8.44E-16,"ATF2, PIK3CD, CREB3L4, AKT2, CREB3L1, AKT3, CREB3L2, AKT1, PRKACA, PRKACB, HRAS, CTSD, NCOA1, NCOA2, MAP2K1, HSP90AA1, MAP2K2, MMP2, PRKCD, FOS, CREB3, PLCB3, PLCB4, CREB1, ADCY9, PIK3CA, RAF1, SOS1, PLCB2, SOS2, ATF4, CREB5, SHC2, SHC3, SHC1, ADCY4, GNAI3, ITPR1, PIK3R3, ADCY3, ITPR2, TGFA, PIK3R2, ITPR3, PIK3R1, ADCY7, EGFR, GNAI1, ADCY6, HSP90B1, GNAI2, MAPK1, MAPK3, HSPA8, JUN, HSPA6, HSPA2, SP1, GNAQ, BCL2, GNAS, KRAS, CALM3, GRB2, CALM1, CALM2",2.714942039,2.85E-13,3.23E-15,1.15E-15
hsa05218:Melanoma,44,1.15E-15,"RB1, CDKN1A, PTEN, PDGFB, ARAF, PDGFA, PIK3CD, PIK3R3, PIK3R2, PIK3R1, FGF2, EGFR, CCND1, CDH1, AKT2, AKT3, PDGFC, E2F1, AKT1, MAPK1, E2F3, BAK1, POLK, HRAS, MAPK3, PDGFRB, MAP2K1, MAP2K2, CDKN2A, BAD, HGF, BRAF, MITF, IGF1, CDK6, PIK3CA, CDK4, MDM2, BAX, KRAS, RAF1, MET, TP53, FGFR1",3.469092606,3.56E-13,4.33E-15,1.54E-15
hsa05418:Fluid shear stress and atherosclerosis,65,5.29E-15,"NCF1, NCF2, ITGB3, PIK3CD, ACTB, ICAM1, ACTG1, IKBKB, SUMO1, AKT2, SUMO3, AKT3, SUMO2, RAC2, AKT1, ITGAV, IKBKG, RAC1, MAP3K7, PIAS4, MEF2A, MAP2K4, HSP90AA1, CHUK, MMP2, CYBA, FOS, RHOA, TNFRSF1A, PIK3CA, PECAM1, SQSTM1, TP53, PRKAA1, PRKAA2, PDGFB, PDGFA, PIK3R3, GSTT1, PIK3R2, PIK3R1, PRKCZ, RELA, HSP90B1, MAPK9, MAPK8, GPC1, HMOX1, MAP2K7, MAP2K6, JUN, VCAM1, CAV1, MAPK14, MAPK12, NFKB1, KLF2, MAPK13, MAPK10, MAPK11, BCL2, CTNNB1, CALM3, CALM1, CALM2",2.654570535,1.71E-12,1.97E-14,7.01E-15
hsa05231:Choline metabolism in cancer,52,6.68E-15,"DGKE, DGKD, PIK3CD, AKT2, AKT3, RAC2, AKT1, RAC1, HRAS, PDGFRB, MAP2K1, MAP2K2, PDPK1, PLA2G4C, PLA2G4A, PRKCA, TSC1, FOS, DGKZ, PIK3CA, DGKQ, RAF1, SOS1, SOS2, DGKH, SLC22A3, SLC22A5, WAS, PDGFB, PDGFA, PIK3R3, PIK3R2, PIK3R1, EGFR, PLD2, MAPK9, MAPK8, PDGFC, PIP5K1A, MAPK1, PIP5K1B, PLCG1, PIP5K1C, RALGDS, MAPK3, JUN, MAPK10, RPS6KB1, SP1, RPS6KB2, KRAS, GRB2",3.012124934,2.14E-12,2.46E-14,8.75E-15
hsa04370:VEGF signaling pathway,38,1.31E-14,"SHC2, PIK3CD, PIK3R3, PIK3R2, PIK3R1, CASP9, CDC42, PPP3CA, PPP3CB, PPP3R1, PPP3CC, AKT2, AKT3, PLCG2, RAC2, AKT1, MAPK1, PLCG1, RAC1, HRAS, MAPK3, MAP2K1, MAP2K2, SPHK2, BAD, SPHK1, PLA2G4C, PLA2G4A, NFATC2, PRKCA, MAPK14, MAPK12, MAPK13, MAPK11, PIK3CA, MAPKAPK2, KRAS, RAF1",3.656177723,4.21E-12,4.78E-14,1.70E-14
hsa05130:Pathogenic Escherichia coli infection,81,1.33E-14,"ITGB1, ARF1, ARPC1B, ARPC1A, ARPC5L, ACTB, ACTG1, PYCARD, CASP9, IKBKB, TUBA1C, TUBA1B, TUBB6, CASP7, CASP8, TUBB3, CASP3, TNFSF10, CASP1, NCK2, IKBKG, RAC1, MAP3K7, CHUK, IL18, TRAF2, FOS, IRAK4, RHOA, TUBA4A, TNFRSF1A, TUBB2A, CTTN, TRAF6, HCLS1, GAPDH, TLR4, RAB1A, ROCK2, RELA, GNA13, CDC42, MAPK9, MAPK8, IRAK1, ABL1, RPS3, MYH14, MAPK1, RIPK1, FYN, BAK1, FADD, MYH10, PAK2, MAPK3, JUN, MYO10, PTPN11, TNFRSF10A, ARPC4, ARPC5, MAPK14, MAPK12, NFKB1, MAPK13, NFKBIA, MAPK10, MAPK11, FCGR2A, ARPC2, ARPC3, CYCS, BAX, FAS, TAB3, TAB2, TAB1, SEC24D, SEC24C, NFKBIB",2.334073382,4.28E-12,4.81E-14,1.71E-14
hsa04072:Phospholipase D signaling pathway,67,1.38E-14,"DGKE, ARF1, DGKD, PIK3CD, PIK3CG, AKT2, AKT3, AKT1, HRAS, PDGFRB, MAP2K1, MAP2K2, SYK, SPHK2, SPHK1, PLA2G4C, GAB1, PLA2G4A, PRKCA, TSC1, GAB2, DGKZ, RHOA, DNM1, PLCB3, PLCB4, ADCY9, PIK3CA, DGKQ, RAF1, SOS1, PLCB2, SOS2, RAPGEF3, DGKH, RALA, SHC2, SHC3, SHC1, ADCY4, PDGFB, PDGFA, PIK3R3, ADCY3, PIK3R2, PIK3R1, ADCY7, EGFR, ADCY6, PLD2, PIK3R5, GNA13, PDGFC, PLCG2, PIP5K1A, MAPK1, PIP5K1B, FYN, PLCG1, PIP5K1C, RALGDS, MAPK3, PTPN11, KITLG, GNAS, KRAS, GRB2",2.56985607,4.42E-12,4.92E-14,1.75E-14
hsa00562:Inositol phosphate metabolism,43,1.63E-14,"MTMR2, MTMR14, PTEN, INPPL1, PIK3CD, MTMR4, PIK3C2A, MTMR6, PIK3CG, PIK3C2B, MTM1, INPP5B, IMPA2, INPP5D, PLCG2, PIP5K1A, PIP4K2A, PLCE1, PIP5K1B, PIP4K2B, PLCG1, PIP5K1C, CDIPT, SACM1L, IPMK, ITPK1, OCRL, INPP4A, ITPKB, INPP4B, PIKFYVE, PLCB3, ALDH6A1, PLCB4, SYNJ1, PIK3CA, PI4KA, PLCH1, PIK3C3, PI4KB, PLCH2, PLCB2, PI4K2A",3.343807817,5.24E-12,5.76E-14,2.04E-14
hsa04145:Phagosome,68,1.75E-14,"ITGB1, ITGAM, NCF1, ITGB5, NCF2, ITGB3, NCF4, ITGB2, TCIRG1, ACTB, CTSS, ACTG1, SEC61A2, TUBA1C, TUBA1B, TUBB6, FCGR3A, TUBB3, SEC61G, ITGAV, SEC61B, RAC1, ATP6V1E1, ATP6V0B, ATP6V1G1, ATP6V0E1, ATP6AP1, ITGA2, SFTPD, CYBB, CYBA, TUBA4A, DYNC1LI2, TUBB2A, CANX, ATP6V1B2, PIK3C3, ITGA5, ATP6V0D1, SEC22B, ATP6V0C, TLR4, ATP6V1A, DYNC1I2, RAB5C, SFTPA2, C1R, STX18, C3, ATP6V1H, CD14, FCGR1A, ATP6V0E2, ATP6V1D, ATP6V1C1, ATP6V0A1, ATP6V1F, MSR1, DYNC1H1, MARCO, PIKFYVE, FCGR2A, HLA-DPB1, CALR, SFTPA1, FCGR2C, RAB5A, HLA-DRB1",2.53957497,5.63E-12,6.10E-14,2.17E-14
hsa04371:Apelin signaling pathway,64,2.19E-14,"PDE3B, PRKAG2, PIK3CG, CCND1, CDH1, AKT2, AKT3, AKT1, PRKACA, PRKACB, HRAS, MEF2A, MAP2K1, MAP2K2, SPHK2, SPHK1, PRKCE, RPS6, PRKAB1, TGFBR1, PLCB3, PLCB4, ADCY9, PIK3C3, RAF1, PLCB2, NOTCH3, PRKAA1, PRKAA2, ADCY4, GNAI3, ITPR1, ADCY3, ITPR2, ITPR3, ADCY7, GNAI1, ADCY6, SLC9A1, GNAI2, PIK3R5, GNA13, GNG2, GNG5, MAPK1, MAPK3, SMAD2, SMAD4, SMAD3, GNG12, GNG11, KLF2, RPS6KB1, CAMK4, GNAQ, GNB2, RPS6KB2, GNB1, GNB4, KRAS, CALM3, GNB5, CALM1, CALM2",2.613730989,7.02E-12,7.57E-14,2.69E-14
hsa04064:NF-kappa B signaling pathway,53,3.08E-14,"CD40, TNFAIP3, CXCL2, ICAM1, IKBKB, PLAU, BLNK, IKBKG, MAP3K7, PIAS4, PARP1, SYK, CHUK, CSNK2A2, TRAF2, TRAF1, IRAK4, TICAM1, TNFRSF1A, ZAP70, LCK, TRAF6, BTK, PRKCQ, TLR4, BIRC2, BIRC3, XIAP, LY96, TNFRSF11A, MALT1, RELA, RELB, IRAK1, PLCG2, RIPK1, CD14, PLCG1, LYN, VCAM1, NFKB1, NFKB2, NFKBIA, CYLD, CXCL12, BCL2, TAB3, TAB2, ATM, TAB1, MAP3K14, LAT, BCL2L1",2.89293212,9.91E-12,1.05E-13,3.74E-14
hsa05100:Bacterial invasion of epithelial cells,44,3.40E-14,"ITGB1, SHC2, SHC3, SHC1, ARPC1B, ARPC1A, CLTC, ARPC5L, CLTB, ILK, PIK3CD, PIK3R3, CLTA, PIK3R2, PIK3R1, CBL, ACTB, ACTG1, CRKL, CDC42, CDH1, CTNNA1, RAC1, CAV1, FN1, GAB1, ARPC4, ARPC5, RHOA, DNM1, MAD2L2, ARHGAP10, CTTN, PIK3CA, ARPC2, ARPC3, ELMO1, CTNNB1, HCLS1, ELMO3, ITGA5, MET, CRK, BCAR1",3.243826852,1.09E-11,1.15E-13,4.08E-14
hsa04921:Oxytocin signaling pathway,68,3.82E-14,"CDKN1A, PRKAG2, ELK1, PIK3CG, ACTB, ACTG1, PPP1CB, PPP3CA, PPP1CC, PPP3CB, PPP3CC, CCND1, PRKACA, PRKACB, HRAS, GUCY1A2, MAP2K1, MAP2K2, PLA2G4C, PLA2G4A, PRKCA, FOS, PRKAB1, RHOA, CACNB1, CACNB3, MYL6, PLCB3, PLCB4, ADCY9, RAF1, PPP1R12B, MYL9, PLCB2, CAMK2D, PRKAA1, PRKAA2, ROCK2, ADCY4, GNAI3, ITPR1, ADCY3, ITPR2, CACNA1D, ITPR3, CACNA1C, ADCY7, EGFR, GNAI1, ADCY6, GNAI2, PIK3R5, PPP3R1, MAPK1, CAMK2G, MAPK3, JUN, NFATC3, NFATC2, EEF2, PPP1CA, CAMK4, GNAQ, GNAS, KRAS, CALM3, CALM1, CALM2",2.506593477,1.23E-11,1.28E-13,4.54E-14
hsa04140:Autophagy - animal,64,4.99E-14,"MTMR14, PTEN, PIK3CD, IRS2, HMGB1, RPTOR, STK11, TBK1, AKT2, AKT3, MLST8, AKT1, PRKACA, PRKACB, HRAS, CTSD, MAP3K7, SNAP29, CTSB, GABARAPL2, MAP2K1, MAP2K2, PDPK1, DAPK1, DAPK2, PRKCD, TSC1, ATG12, ERN1, RRAGA, PIK3CA, RRAGC, RRAGB, TRAF6, RRAGD, PIK3C3, PRKCQ, RAF1, SQSTM1, RAB1A, PRKAA1, PRKAA2, ITPR1, PIK3R3, PIK3R2, PIK3R1, MTMR4, PPP2CA, PPP2CB, MAPK9, MAPK8, MAPK1, MAPK3, BAD, BNIP3, EIF2AK3, EIF2AK4, EIF2S1, MAPK10, RPS6KB1, RPS6KB2, BCL2, KRAS, BCL2L1",2.57665679,1.60E-11,1.65E-13,5.86E-14
hsa04621:NOD-like receptor signaling pathway,76,7.29E-14,"YWHAE, TNFAIP3, ANTXR2, CXCL2, PYCARD, IKBKB, TBK1, CASP8, CASP1, IKBKG, IKBKE, MAP3K7, JAK1, CTSB, IFNAR2, GABARAPL2, HSP90AA1, RIPK3, CHUK, RIPK2, PRKCD, IL18, CYBB, TRAF2, CYBA, TYK2, IRAK4, TICAM1, RHOA, ATG12, PLCB3, PLCB4, IRF3, TRAF6, IRF7, RBCK1, TLR4, PLCB2, IRF9, BIRC2, BIRC3, IFNAR1, RNF31, NLRX1, ITPR1, XIAP, ITPR2, ITPR3, BRCC3, RELA, MAPK9, MAPK8, SHARPIN, CCL5, MAPK1, RIPK1, FADD, MAPK3, JUN, STAT1, STAT2, MAPK14, MAPK12, NFKB1, MAPK13, P2RX7, NFKBIA, MAPK10, MAPK11, MAVS, BCL2, TAB3, TAB2, TAB1, NFKBIB, BCL2L1",2.34472267,2.34E-11,2.39E-13,8.48E-14
hsa04670:Leukocyte transendothelial migration,55,1.74E-13,"ITGB1, ITGAM, NCF1, NCF2, NCF4, ITGB2, PIK3CD, F11R, ACTB, ICAM1, ACTG1, RAC2, RAC1, VAV3, ACTN1, MMP2, CYBB, PRKCA, CYBA, ACTN4, RHOA, VAV1, VAV2, PIK3CA, PECAM1, MYL9, RAPGEF3, ROCK2, GNAI3, CXCR4, PIK3R3, PIK3R2, THY1, PIK3R1, MYL12A, GNAI1, GNAI2, MYL12B, RAP1B, CDC42, RAP1A, CTNNA1, PLCG2, PLCG1, VASP, VCAM1, PTPN11, MAPK14, MAPK12, MAPK13, MAPK11, CXCL12, CTNNB1, BCAR1, SIPA1",2.73875732,5.57E-11,5.63E-13,2.00E-13
hsa04723:Retrograde endocannabinoid signaling,65,2.03E-13,"NDUFA11, NDUFA12, PRKACA, PRKACB, NDUFC2, PRKCA, NDUFC1, PLCB3, PLCB4, ADCY9, NDUFS8, NDUFS7, NDUFS6, NDUFS5, NDUFS4, NDUFS2, PLCB2, NDUFB9, NDUFB8, NDUFB7, NDUFB6, NDUFB10, NDUFB11, NDUFB4, ADCY4, GNAI3, NDUFB2, ITPR1, NDUFB1, ADCY3, ITPR2, CACNA1D, ITPR3, CACNA1C, ADCY7, GNAI1, ADCY6, GNAI2, MAPK9, MAPK8, GNG2, GNG5, MAPK1, NDUFV3, NDUFV2, MAPK3, NDUFA8, NDUFA6, NDUFA4, NDUFA3, NDUFA2, NDUFA1, MAPK14, GNG12, GNG11, MAPK12, MAPK13, MAPK10, MAPK11, GNAQ, GNB2, GNB1, NDUFAB1, GNB4, GNB5",2.493143949,6.53E-11,6.52E-13,2.32E-13
hsa04022:cGMP-PKG signaling pathway,70,3.41E-13,"ATF2, PDE3B, ATP2A3, ATP2A2, IRS2, PIK3CG, PPP1CB, PPP3CA, PPP1CC, PPP3CB, EDNRA, PPP3CC, CREB3L4, AKT2, CREB3L1, AKT3, CREB3L2, AKT1, MEF2A, GUCY1A2, MAP2K1, MAP2K2, PRKCE, ATP1B1, RHOA, CREB3, PLCB3, PLCB4, CREB1, ADCY9, KCNMA1, RAF1, MYL9, PLCB2, ATF4, CREB5, ROCK2, ADCY4, GNAI3, ITPR1, ADCY3, ITPR2, CACNA1D, ITPR3, CACNA1C, ATP1A1, ADCY7, GNAI1, ADCY6, GNAI2, PIK3R5, GNA13, PPP3R1, PLN, GNA11, MAPK1, MAPK3, VASP, KCNJ8, BAD, NFATC3, ATP2B4, NFATC2, ATP2B1, PPP1CA, GNAQ, CALM3, GTF2IRD1, CALM1, CALM2",2.379453829,1.10E-10,1.08E-12,3.85E-13
hsa04720:Long-term potentiation,39,5.50E-13,"CAMK2D, ARAF, ITPR1, ITPR2, ITPR3, CACNA1C, RAP1B, PPP1CB, PPP3CA, PPP1CC, PPP3CB, PPP3R1, RAP1A, PPP3CC, MAPK1, EP300, PRKACA, HRAS, CAMK2G, PRKACB, MAPK3, MAP2K1, CREBBP, MAP2K2, PRKCA, BRAF, PPP1CA, PLCB3, PLCB4, GNAQ, CAMK4, KRAS, CALM3, RAF1, CALM1, PLCB2, CALM2, RAPGEF3, ATF4",3.30434601,1.76E-10,1.73E-12,6.14E-13
hsa04659:Th17 cell differentiation,52,9.58E-13,"RORA, CD3D, IKBKB, PPP3CA, PPP3CB, PPP3CC, IKBKG, JAK2, JAK3, JAK1, HSP90AA1, CHUK, IFNGR1, IFNGR2, TYK2, FOS, TGFBR1, TGFBR2, ZAP70, LCK, PRKCQ, RELA, MAPK9, PPP3R1, MAPK8, RXRA, MAPK1, PLCG1, MAPK3, SMAD2, STAT5B, JUN, SMAD4, TGFB1, SMAD3, STAT1, STAT3, NFATC3, NFATC2, MAPK14, MAPK12, NFKB1, MAPK13, NFKBIA, MAPK10, MAPK11, CD4, HLA-DPB1, NFKBIE, LAT, HLA-DRB1, NFKBIB",2.733224477,3.07E-10,2.99E-12,1.06E-12
hsa05017:Spinocerebellar ataxia,62,1.56E-12,"ATP2A3, PIK3CD, ATP2A2, RORA, PSMD8, PSMD9, PSMD6, PSMD7, KAT5, PSMD4, PSMD2, AKT2, AKT3, PSMD3, PSMD1, AKT1, TBP, TRAF2, PRKCA, ERN1, PSMA5, PSMA6, PSMA3, PLCB3, PSMA4, PLCB4, PIK3CA, PSMA1, PSMA2, PIK3C3, PLCB2, PSMD12, PSMD11, PSMD14, PSMD13, ITPR1, PIK3R3, ITPR2, PIK3R2, ITPR3, PIK3R1, PSMA7, PSMB6, MAPK9, PSMB4, MAPK8, PSMB5, PSMB2, PSMB3, PSMB1, XBP1, NFYA, MAPK10, PSMC5, PSMC6, PSMC3, SP1, PSMC4, PSMC1, GNAQ, PSMC2, CYCS",2.461225269,5.00E-10,4.81E-12,1.71E-12
"hsa04928:Parathyroid hormone synthesis, secretion and action",51,1.69E-12,"ATF2, CDKN1A, ARAF, ARRB1, ARRB2, CREB3L4, CREB3L1, CREB3L2, PDE4A, PRKACA, PRKACB, MEF2A, MAP2K1, PRKCA, FOS, RHOA, CREB3, PLCB3, MMP14, PLCB4, CREB1, ADCY9, RAF1, PLCB2, ATF4, CREB5, ADCY4, GNAI3, ITPR1, ADCY3, ITPR2, ITPR3, ADCY7, EGFR, GNAI1, ADCY6, LRP6, GNAI2, PLD2, GNA13, RXRA, GNA11, MAPK1, MAPK3, JUND, BRAF, SP1, GNAQ, BCL2, GNAS, FGFR1",2.731241005,5.43E-10,5.17E-12,1.84E-12
hsa04917:Prolactin signaling pathway,39,3.50E-12,"SHC2, SHC3, SHC1, PIK3CD, PIK3R3, PIK3R2, TNFRSF11A, PIK3R1, FOXO3, RELA, MAPK9, MAPK8, SOCS1, CCND1, AKT2, AKT3, AKT1, MAPK1, JAK2, HRAS, MAPK3, STAT5B, MAP2K1, MAP2K2, STAT1, STAT3, FOS, MAPK14, MAPK12, NFKB1, MAPK13, MAPK10, MAPK11, PIK3CA, GRB2, KRAS, RAF1, SOS1, SOS2",3.162731181,1.12E-09,1.06E-11,3.76E-12
